暇人,2023/07/13,掲示板の下にある秘密のページってなんですか？
名無し,2023/07/13,知らないなら話すな
もっさん,2023/07/13,辛辣で草
もっさん,2023/07/13,パスワードを入れれば入れるよ
暇人,2023/07/13,それが分かれば苦労はないです
もっさん,2023/07/13,ちなみに見ても面白いものはない
暇人,2023/07/13,それは私が決めます
もっさん,2023/07/13,パスワードは、サイトのどこかに書いてあったと思う
もっさん,2023/07/13,確か俺はそれで入った
名無し,2023/07/13,ヒント：縦読み
もっさん,2023/07/13,ほぼ回答では？
暇人,2023/07/14,怪しいところは見つけました、けどパスワードが合わない
名無し,2023/07/15,これ以上はノーヒント
もっさん,2023/07/15,maxazennbuiukotoninattyaukarane
名無し,2023/07/15,おい
暇人,2023/07/15,今のはヒントですか？
暇人,2023/07/15,分かったかも
暇人,2023/07/15,入れました
名無し,2023/07/15,ようこそ、つまらないでしょ
暇人,2023/07/15,くっだらないですね
